indicator_id,claim_id,indicator_type,severity,detected_date,pattern_description,investigation_status
FRD-000001,CLM-2026-000011,Excessive Claim Amount,HIGH,2024-03-20,"Claim amount $25,320.64 exceeds typical range by 120%",CLOSED
FRD-000002,CLM-2026-000011,Phantom Damage,MEDIUM,2024-03-15,Claimed damage not consistent with incident type,CLOSED
FRD-000003,CLM-2026-000011,Phantom Damage,HIGH,2024-03-24,Claimed damage not consistent with incident type,CONFIRMED
FRD-000004,CLM-2026-000030,Witness Inconsistency,LOW,2024-11-06,Witness statements contain conflicting information,OPEN
FRD-000005,CLM-2026-000038,Policyholder Collusion,LOW,2023-02-23,Evidence suggests coordination between parties,OPEN
FRD-000006,CLM-2026-000038,Phantom Damage,LOW,2023-02-01,Claimed damage not consistent with incident type,CONFIRMED
FRD-000007,CLM-2026-000048,Staged Accident Pattern,MEDIUM,2025-01-01,Incident characteristics match known staged accident patterns,CLOSED
FRD-000008,CLM-2026-000053,Excessive Claim Amount,MEDIUM,2025-11-13,"Claim amount $2,126.49 exceeds typical range by 93%",CONFIRMED
FRD-000009,CLM-2026-000053,Phantom Damage,HIGH,2025-11-17,Claimed damage not consistent with incident type,OPEN
FRD-000010,CLM-2026-000053,Staged Accident Pattern,CRITICAL,2025-11-25,Incident characteristics match known staged accident patterns,CLOSED
FRD-000011,CLM-2026-000054,Inconsistent Documentation,CRITICAL,2024-03-19,Documentation shows inconsistencies in dates and damage descriptions,OPEN
FRD-000012,CLM-2026-000054,Inconsistent Documentation,HIGH,2024-04-01,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000013,CLM-2026-000062,Excessive Claim Amount,CRITICAL,2025-11-04,"Claim amount $8,514.17 exceeds typical range by 169%",CLOSED
FRD-000014,CLM-2026-000062,Excessive Claim Amount,MEDIUM,2025-11-09,"Claim amount $8,514.17 exceeds typical range by 187%",CLOSED
FRD-000015,CLM-2026-000062,Previous Fraud History,HIGH,2025-11-20,Claimant has 3 previous fraud flags on record,CLOSED
FRD-000016,CLM-2026-000074,Suspicious Timing,MEDIUM,2025-08-20,Claim filed 5 days after policy inception/modification,CONFIRMED
FRD-000017,CLM-2026-000115,Staged Accident Pattern,HIGH,2025-05-05,Incident characteristics match known staged accident patterns,CLOSED
FRD-000018,CLM-2026-000115,Inconsistent Documentation,MEDIUM,2025-04-30,Documentation shows inconsistencies in dates and damage descriptions,CLOSED
FRD-000019,CLM-2026-000129,Phantom Damage,CRITICAL,2023-11-28,Claimed damage not consistent with incident type,OPEN
FRD-000020,CLM-2026-000143,Medical Bill Padding,HIGH,2024-11-20,Medical bills inflated by estimated 32%,CLOSED
FRD-000021,CLM-2026-000143,Multiple Claims Short Period,CRITICAL,2024-11-15,Claimant filed 3 claims within 75 days,CLOSED
FRD-000022,CLM-2026-000143,Previous Fraud History,MEDIUM,2024-11-28,Claimant has 3 previous fraud flags on record,CONFIRMED
FRD-000023,CLM-2026-000145,Excessive Claim Amount,MEDIUM,2024-04-02,"Claim amount $29,149.17 exceeds typical range by 160%",OPEN
FRD-000024,CLM-2026-000161,Excessive Claim Amount,LOW,2023-02-21,"Claim amount $26,368.83 exceeds typical range by 136%",OPEN
FRD-000025,CLM-2026-000161,Inconsistent Documentation,LOW,2023-02-27,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000026,CLM-2026-000161,Multiple Claims Short Period,MEDIUM,2023-03-06,Claimant filed 3 claims within 89 days,CLOSED
FRD-000027,CLM-2026-000163,Inconsistent Documentation,MEDIUM,2024-07-29,Documentation shows inconsistencies in dates and damage descriptions,CONFIRMED
FRD-000028,CLM-2026-000166,Medical Bill Padding,LOW,2024-10-17,Medical bills inflated by estimated 99%,OPEN
FRD-000029,CLM-2026-000166,Policyholder Collusion,LOW,2024-10-12,Evidence suggests coordination between parties,OPEN
