policy_number,total_claims,total_amount_paid,avg_claim_amount,last_claim_date,first_claim_date,claims_trend,policy_type,fraud_claims_count
POL-2025-914,3,0.0,20263.36,2025-12-31,2024-12-23,INCREASING,AUTO,0
POL-2021-722,1,41982.02,41982.02,2025-05-09,2025-05-09,INSUFFICIENT_DATA,AUTO,0
POL-2021-672,2,12354.43,6177.22,2025-11-13,2025-08-02,INSUFFICIENT_DATA,AUTO,0
POL-2020-977,2,0.0,35932.52,2025-05-26,2023-06-28,INSUFFICIENT_DATA,AUTO,0
POL-2023-988,3,17100.53,19491.55,2025-04-25,2023-05-01,INCREASING,AUTO,1
POL-2023-479,3,0.0,27207.31,2024-08-04,2023-05-25,INCREASING,AUTO,0
POL-2025-736,2,22881.35,26763.18,2026-01-07,2025-06-09,INSUFFICIENT_DATA,AUTO,1
POL-2025-308,1,0.0,7921.89,2024-07-23,2024-07-23,INSUFFICIENT_DATA,AUTO,0
POL-2023-258,4,52746.28,25260.69,2025-08-22,2023-01-28,INCREASING,AUTO,0
POL-2021-903,4,11492.69,41761.51,2025-11-08,2025-06-06,DECREASING,AUTO,0
POL-2023-354,2,62710.67,31355.34,2024-02-27,2023-03-11,INSUFFICIENT_DATA,AUTO,1
POL-2022-216,3,21976.48,11433.66,2024-11-22,2023-08-11,DECREASING,AUTO,0
POL-2023-225,4,8729.28,7632.23,2025-08-22,2023-08-24,DECREASING,AUTO,0
POL-2020-142,3,83049.72,38693.7,2023-11-03,2023-07-21,INCREASING,AUTO,0
POL-2025-170,2,0.0,13985.16,2024-12-20,2024-07-02,INSUFFICIENT_DATA,AUTO,0
POL-2021-477,2,73230.37,36615.19,2025-12-17,2025-11-06,INSUFFICIENT_DATA,AUTO,0
POL-2020-444,3,0.0,21721.92,2024-09-03,2023-12-10,INCREASING,AUTO,0
POL-2025-488,3,8757.97,15914.44,2025-09-28,2024-06-27,DECREASING,AUTO,0
POL-2020-998,5,6203.8,12308.45,2025-08-03,2023-03-28,DECREASING,AUTO,0
POL-2022-583,3,174278.26,62753.21,2024-07-01,2023-02-06,INCREASING,AUTO,0
POL-2022-450,2,3669.87,12740.41,2025-03-20,2023-06-28,INSUFFICIENT_DATA,AUTO,0
POL-2022-422,2,1501.53,3417.25,2024-08-28,2023-04-05,INSUFFICIENT_DATA,AUTO,0
POL-2023-970,4,14701.78,41219.99,2025-07-08,2023-04-13,INCREASING,AUTO,0
POL-2021-586,2,7102.5,29173.42,2023-04-25,2023-03-01,INSUFFICIENT_DATA,AUTO,0
POL-2025-909,3,100640.14,33914.74,2026-01-06,2023-10-24,STABLE,AUTO,1
POL-2023-923,2,0.0,22985.24,2024-09-12,2024-09-06,INSUFFICIENT_DATA,AUTO,0
POL-2025-786,4,73750.53,32450.93,2024-06-10,2023-01-10,DECREASING,AUTO,0
POL-2022-689,3,27498.81,9662.7,2024-12-31,2023-10-28,DECREASING,AUTO,0
POL-2024-418,3,18500.73,18627.21,2024-01-04,2023-05-25,INCREASING,AUTO,1
POL-2021-554,3,69252.17,60495.63,2025-05-19,2023-11-20,INCREASING,AUTO,1
POL-2022-623,1,0.0,29071.25,2023-10-12,2023-10-12,INSUFFICIENT_DATA,AUTO,0
POL-2024-062,2,26454.57,13227.28,2024-03-14,2023-05-11,INSUFFICIENT_DATA,AUTO,0
POL-2022-007,1,0.0,6149.57,2025-11-22,2025-11-22,INSUFFICIENT_DATA,AUTO,0
POL-2020-008,2,39194.85,19597.42,2024-12-25,2023-08-10,INSUFFICIENT_DATA,AUTO,0
POL-2023-604,3,2320.77,10614.21,2025-02-15,2023-06-21,INCREASING,AUTO,0
POL-2024-058,5,59086.88,38581.14,2025-05-25,2024-03-28,INCREASING,AUTO,1
POL-2023-419,1,21914.61,21914.61,2025-01-17,2025-01-17,INSUFFICIENT_DATA,AUTO,0
POL-2021-974,3,91710.56,35058.77,2024-03-25,2023-01-24,INCREASING,AUTO,2
POL-2022-695,3,8974.11,60491.54,2025-01-16,2023-07-04,DECREASING,AUTO,2
POL-2022-954,4,46288.65,25584.9,2025-11-18,2024-06-12,DECREASING,AUTO,1
POL-2021-681,2,33741.9,16870.95,2023-04-10,2023-02-24,INSUFFICIENT_DATA,AUTO,0
POL-2022-956,3,10769.48,5370.06,2025-01-09,2023-10-01,INCREASING,AUTO,0
POL-2025-455,1,3308.58,3308.58,2024-05-19,2024-05-19,INSUFFICIENT_DATA,AUTO,0
POL-2020-754,4,106458.17,32007.74,2025-05-01,2023-07-23,DECREASING,AUTO,1
POL-2020-370,1,29583.71,29583.71,2025-01-26,2025-01-26,INSUFFICIENT_DATA,AUTO,0
POL-2022-867,5,16293.13,41417.02,2025-05-25,2023-11-22,STABLE,AUTO,1
POL-2025-062,3,12872.91,32992.94,2025-01-19,2023-12-05,INCREASING,AUTO,0
POL-2024-469,3,20952.87,38349.3,2025-04-24,2024-11-28,INCREASING,AUTO,1
POL-2023-513,2,188400.23,95275.9,2025-06-27,2024-12-24,INSUFFICIENT_DATA,AUTO,1
POL-2021-739,5,29060.12,10696.87,2025-11-21,2023-07-13,DECREASING,AUTO,1
POL-2025-271,3,13714.01,33375.94,2025-01-23,2023-04-01,INCREASING,AUTO,1
POL-2022-141,1,27124.08,27124.08,2023-07-25,2023-07-25,INSUFFICIENT_DATA,AUTO,0
POL-2023-191,3,0.0,10510.14,2025-11-04,2024-12-05,DECREASING,AUTO,1
POL-2021-007,3,32244.8,13139.56,2025-03-31,2023-10-23,DECREASING,AUTO,1
POL-2024-895,2,1569.67,4956.45,2024-01-30,2023-05-29,INSUFFICIENT_DATA,AUTO,0
POL-2020-957,2,60883.53,30441.76,2026-01-10,2025-01-13,INSUFFICIENT_DATA,AUTO,0
POL-2020-033,1,42637.52,42637.52,2023-08-29,2023-08-29,INSUFFICIENT_DATA,AUTO,0
POL-2023-049,3,19352.76,20514.96,2024-09-08,2024-02-25,DECREASING,AUTO,0
POL-2022-980,1,101374.68,101374.68,2025-10-30,2025-10-30,INSUFFICIENT_DATA,AUTO,0
POL-2023-584,3,27463.08,9154.36,2025-03-13,2024-02-14,INCREASING,AUTO,0
POL-2025-500,3,61805.21,23558.31,2025-03-02,2023-06-19,DECREASING,AUTO,2
POL-2025-176,2,7732.14,8123.16,2025-11-03,2025-04-17,INSUFFICIENT_DATA,AUTO,1
POL-2025-742,4,82490.91,20622.73,2025-02-16,2024-05-28,INCREASING,AUTO,1
POL-2021-090,1,23688.09,23688.09,2023-11-05,2023-11-05,INSUFFICIENT_DATA,AUTO,0
POL-2021-312,1,94504.99,94504.99,2025-08-06,2025-08-06,INSUFFICIENT_DATA,AUTO,0
POL-2025-071,2,70320.09,41681.06,2025-12-07,2025-01-12,INSUFFICIENT_DATA,AUTO,1
POL-2024-595,2,2295.34,100224.14,2025-01-15,2023-10-22,INSUFFICIENT_DATA,AUTO,0
POL-2021-817,1,43146.11,43146.11,2025-06-06,2025-06-06,INSUFFICIENT_DATA,AUTO,0
